filename,true_label,predicted_label,correct,confidence,prob_BA,prob_BHA,prob_CHA,prob_CHHA,prob_DA,prob_DAA,prob_DHA,prob_DHAA,prob_D_SHA,prob_GA,prob_GHA,prob_GYA,prob_HA,prob_JA,prob_JHA,prob_KA,prob_KHA,prob_KSHA,prob_LA,prob_MA,prob_M_SHA,prob_NA,prob_NAA,prob_NGA,prob_PA,prob_PHA,prob_RA,prob_TA,prob_TAA,prob_THA,prob_THAA,prob_TRA,prob_T_SHA,prob_WA,prob_YA,prob_YAN
LA_16_aug_01_crop.npz,LA,DHAA,False,0.9999999,1.2354492e-35,0.0,2.548009e-11,6.43456e-36,0.0,4.228629e-10,4.6042203e-08,0.9999999,1.6601547e-25,1.9730294e-28,3.6414267e-11,1.55745e-16,2.0109324e-08,8.263472e-34,0.0,0.0,0.0,1.2541487e-27,5.1891176e-09,1.3e-43,2.7445774e-32,1.0594165e-26,3.1588618e-29,2.5398175e-12,0.0,1e-45,7.609409e-28,6.73918e-40,1.0846697e-23,4.6364274e-13,6.120603e-30,4.489593e-23,0.0,2.3256932e-35,5.6028983e-33,5.09648e-40
DAA_12_aug_02_crop.npz,DAA,GA,False,0.9999876,0.0,0.0,0.0,0.0,1.6171578e-37,1.08849745e-05,5.387e-42,1.5641073e-13,1.421e-42,0.9999876,0.0,5.439873e-29,0.0,0.0,2.33969e-40,3.4026516e-15,9.018527e-07,2.996324e-19,0.0,0.0,1.8658596e-21,2.0414523e-20,1.758493e-35,0.0,1.0186554e-33,1.7688252e-37,1.68932e-40,6.889802e-28,2.2657101e-32,5.5783737e-16,6.821637e-07,6.790462e-11,0.0,3.0222332e-34,0.0,2.4712066e-14
TRA_15_aug_06_crop.npz,TRA,KHA,False,0.9999758,0.0,0.0,1e-45,0.0,0.0,1.6777609e-12,4.923e-42,1.0005827e-11,0.0,2.0109646e-08,4.3e-44,3.2842523e-15,0.0,0.0,0.0,7.73767e-20,0.9999758,9.465188e-33,0.0,0.0,3.2446864e-17,2.790619e-29,3.0556897e-33,3.0156072e-36,4.7624e-37,9.704e-42,4.6e-44,3.7231991e-19,4.9425944e-17,1.0194307e-14,2.6494005e-15,2.414623e-05,0.0,8.1028977e-32,0.0,1.00298304e-10
KA_15_aug_19_crop.npz,KA,M_SHA,False,0.9999733,2.1106078e-28,5.46313e-40,2.013845e-39,8.843558e-34,1.253146e-25,2.7921732e-13,4.1318335e-13,5.502841e-16,1.1420948e-26,2.8389493e-06,1.2817083e-11,6.3389944e-18,1.8063167e-37,4.9668283e-11,1.3213652e-34,1.8635415e-05,1.019842e-11,3.6942598e-18,6e-45,8.150194e-37,0.9999733,4.2745296e-09,4.692547e-06,7.0823986e-27,2.0844497e-07,2.2897788e-07,2.2898251e-31,5.4191713e-27,1.37664635e-08,2.5360985e-13,2.7479794e-08,1.971709e-17,1.1219146e-36,5.276113e-21,3.1211972e-25,4.218709e-08
DAA_20_aug_11_crop.npz,DAA,GA,False,0.99995804,1.35867e-40,0.0,0.0,0.0,4.10949e-31,2.6982223e-05,2.606083e-36,1.8149285e-12,2.3916038e-36,0.99995804,8e-45,1.7450852e-25,0.0,1.955e-42,1.1182839e-34,4.9141854e-13,1.5176248e-06,1.4486943e-15,0.0,0.0,5.929792e-19,1.508455e-17,4.3993833e-30,2.128e-41,1.1017818e-28,5.6446063e-32,8.735918e-36,6.521209e-25,4.1389146e-29,2.7942177e-14,1.3509426e-05,7.4122813e-10,0.0,3.831974e-30,0.0,1.4558654e-12
HA_23_aug_16_crop.npz,HA,GHA,False,0.9999399,7.1819724e-22,3.9514e-41,2.1163582e-28,3.1324282e-15,1.1777861e-37,9.870193e-11,1.791787e-10,2.2013616e-07,1.9127576e-21,5.2534586e-23,0.9999399,1.5478e-20,5.9797458e-05,2.8993318e-16,1.4e-42,0.0,0.0,8.710326e-31,1.3284684e-25,1.0495098e-27,5.0005676e-30,2.9943445e-17,6.032336e-17,4.4929695e-17,7.54847e-36,4.0627257e-27,7.5328697e-31,0.0,8.120265e-27,2.434256e-16,6.8810527e-25,9.430324e-25,4.6004332e-38,1.0949876e-34,2.1394115e-20,3.6731411e-34
LA_26_aug_05_crop.npz,LA,CHA,False,0.9998822,1.6987542e-32,0.0,0.9998822,0.0,0.0,5.3022823e-22,2.3182428e-11,1.7183703e-08,3.365785e-31,2.580938e-34,3.712554e-27,2.1429273e-12,8.841714e-25,0.0,0.0,0.0,4e-45,1.2489758e-32,0.000117754134,0.0,5.4763237e-34,9.285991e-33,1.5569902e-35,2.1793333e-11,0.0,0.0,7.312242e-34,3.04556e-25,6.8371804e-22,9.511783e-19,5.906257e-39,1.0122563e-28,0.0,1.3516622e-37,0.0,0.0
GA_20_aug_16_crop.npz,GA,KHA,False,0.99978477,4e-45,0.0,8e-45,0.0,1.3845e-41,6.2459604e-10,2.2775223e-37,1.1681104e-09,3.856e-42,0.00021339867,5.9566386e-37,8.425903e-17,0.0,5.7571e-41,0.0,2.5080558e-12,0.99978477,2.010679e-24,0.0,0.0,2.1500555e-15,2.611507e-25,5.6292825e-26,7.76128e-37,3.871527e-27,5.93123e-34,4.6384e-41,2.2293865e-21,2.835437e-16,1.1464256e-14,1.1424421e-10,9.414405e-08,0.0,2.7696287e-30,0.0,1.7664211e-06
DAA_13_aug_11_crop.npz,DAA,DHAA,False,0.9995919,5.1230455e-26,7.127268e-38,1.2148543e-11,3.25601e-25,1.0039626e-32,0.00024076898,0.0001458499,0.9995919,7.340714e-20,5.539829e-15,2.004055e-05,8.167774e-12,1.4339028e-06,6.28632e-21,1.2860192e-32,4.0598795e-38,8.169786e-34,1.5665455e-20,1.6453634e-11,3.5168152e-32,5.8255765e-20,2.4666597e-14,1.1321239e-16,2.0203363e-08,2.6184934e-33,4.1724926e-28,1.3212448e-18,8.123242e-32,1.406486e-16,2.82079e-09,5.3029805e-17,6.0032216e-17,1.1639918e-38,1.4324054e-24,7.349978e-23,7.866731e-27
DAA_12_aug_05_crop.npz,DAA,GA,False,0.9994796,2.45e-43,0.0,0.0,0.0,5.8731153e-35,0.0005039725,3.093576e-38,3.7732203e-11,5.955158e-38,0.9994796,1e-45,2.4886686e-25,0.0,1e-45,1.2484757e-35,1.0778589e-14,1.5180066e-05,6.9721896e-18,0.0,0.0,7.0835735e-20,5.437741e-18,8.4515215e-33,1.83183e-40,2.9047483e-31,1.0857092e-34,7.925482e-35,7.496384e-24,3.666339e-28,1.3455665e-13,1.2488823e-06,4.4110346e-09,0.0,2.2238561e-29,0.0,5.672139e-13
